timestamp,status
1775061358.0224817,Looking Away 
1775061358.1668746,Looking Away
1775061358.1984303,Looking Away 
1775061358.2445905,Looking Away 
1775061358.3581078,Looking Away 
1775061358.4269984,Looking Away 
1775061358.472849,Looking Away 
1775061358.5047731,Looking Away 
1775061358.615893,Looking Away
1775061358.7384093,Looking Away
1775061358.8161962,Looking Away
1775061358.9190454,Looking Away
1775061359.0459256,Looking Away
1775061362.175667,Looking Away 
1775061362.510635,Attentive
1775061362.6080317,Looking Away 
1775061362.7300148,Looking Away
1775061362.8327928,Looking Away
1775061362.92984,Looking Away
1775061363.0980952,Looking Away
1775061363.154769,Looking Away 
1775061363.3087375,Attentive
1775061363.490896,Looking Away
1775061363.5869107,Looking Away 
1775061363.6574633,Looking Away 
1775061363.9451296,Looking Away
1775061364.307849,Attentive
1775061364.491905,Looking Away
1775061364.6256766,Looking Away
1775061364.7301164,Looking Away
1775061364.8379738,Looking Away
1775061364.931416,Looking Away
1775061364.967288,Looking Away 
1775061365.000153,Looking Away 
1775061365.1160395,Looking Away
1775061365.2229223,Looking Away
1775061365.3295486,Attentive
1775061365.433493,Looking Away
1775061365.4872105,Looking Away 
1775061365.6096163,Looking Away
1775061365.737938,Looking Away
1775061365.8861284,Looking Away
1775061365.9430327,Looking Away 
1775061366.100078,Looking Away
1775061366.2583113,Looking Away
1775061366.3774602,Looking Away
1775061366.563908,Looking Away
1775061366.7426705,Looking Away
1775061366.785308,Looking Away 
1775061367.0208237,Attentive
1775061367.1892383,Attentive
1775061367.3678777,Looking Away
1775061367.5659926,Looking Away
1775061368.1364334,Looking Away
1775061368.2364109,Looking Away
1775061368.26563,Looking Away 
1775061368.384339,Looking Away
1775061368.4983273,Looking Away
1775061368.690356,Looking Away
1775061368.9844584,Looking Away
1775061369.1169646,Looking Away
1775061369.1635864,Looking Away 
1775061369.205731,Looking Away 
1775061369.3386629,Looking Away
1775061369.4751372,Looking Away
1775061369.621433,Looking Away
1775061369.784537,Looking Away
1775061369.9129202,Looking Away
1775061370.0456972,Looking Away
1775061370.1455638,Looking Away 
1775061370.505644,Looking Away
1775061370.59421,Looking Away 
1775061370.7258134,Looking Away
1775061370.8753328,Looking Away
1775061371.132398,Attentive
1775061374.1914263,Looking Away 
1775061374.298086,Looking Away
1775061374.7271469,Blinking
1775061374.861255,Attentive
1775061374.9671736,Looking Away
1775061379.6559777,Blinking
1775061379.6979337,Blinking
1775061379.7291586,Blinking
1775061379.772912,Blinking
1775061379.8688087,Attentive
1775061379.985261,Attentive
1775061380.0232632,Blinking
1775061380.2006958,Looking Away 
1775061380.310826,Looking Away 
1775061380.428894,Looking Away
1775061380.5351553,Looking Away
1775061380.7077596,Looking Away
1775061380.965092,Looking Away
1775061381.027238,Looking Away 
1775061381.128722,Looking Away 
1775061381.1902428,Looking Away 
1775061381.2506998,Looking Away 
1775061381.7200916,Attentive
1775061381.8541038,Attentive
1775061381.9106016,Looking Away 
1775061381.9552336,Looking Away 
1775061382.153045,Attentive
1775061382.29101,Attentive
1775061382.3485322,Looking Away 
1775061382.5560522,Attentive
1775061382.7080414,Attentive
1775061382.7627585,Looking Away 
1775061382.95489,Attentive
1775061383.128354,Attentive
1775061383.2645729,Attentive
1775061383.3967488,Attentive
1775061383.5569046,Attentive
1775061383.7970567,Attentive
1775061383.9777193,Attentive
1775061384.2600172,Attentive
1775061384.4731781,Attentive
1775061384.5504677,Looking Away 
1775061384.8231797,Attentive
1775061385.1519232,Attentive
1775061385.3565724,Attentive
1775061385.5177267,Attentive
1775061385.8199284,Attentive
1775061385.9004953,Attentive
1775061386.0165474,Attentive
1775061386.206053,Attentive
1775061386.4291253,Attentive
1775061386.5266058,Attentive
1775061386.6377313,Attentive
1775061386.6696284,Looking Away 
1775061386.831793,Attentive
1775061386.9360123,Attentive
1775061387.0312872,Attentive
1775061387.0728302,Looking Away 
1775061387.4147186,Attentive
1775061388.299064,Attentive
1775061388.6963546,Attentive
1775061388.8732326,Attentive
1775061389.0557084,Attentive
1775061389.304668,Attentive
1775061389.5534031,Attentive
1775061389.9179046,Attentive
1775061390.1309695,Attentive
1775061390.546623,Attentive
1775061390.6649737,Attentive
1775061390.7793796,Attentive
1775061390.8832357,Attentive
1775061390.9834461,Attentive
1775061391.0979867,Attentive
1775061391.2014203,Attentive
1775061391.3168094,Attentive
1775061391.4726272,Attentive
1775061391.6056392,Attentive
1775061391.7721717,Attentive
1775061391.8838575,Attentive
1775061392.0369925,Attentive
1775061392.1650138,Attentive
1775061392.2704186,Attentive
1775061392.4316952,Attentive
1775061392.7833066,Looking Away
1775061392.91226,Looking Away 
1775061392.981243,Looking Away 
1775061393.069765,Looking Away 
1775061393.1142812,Looking Away 
1775061393.1624742,Looking Away 
1775061393.4655676,Looking Away 
1775061393.5813873,Looking Away 
1775061393.648608,Looking Away 
1775061393.732068,Looking Away 
1775061393.8221395,Looking Away 
1775061394.2155597,Looking Away
1775061394.4316125,Attentive
1775061394.5281124,Attentive
1775061394.747966,Attentive
1775061395.021215,Attentive
1775061395.2569716,Attentive
1775061395.3765996,Attentive
1775061395.4923704,Attentive
1775061395.6227999,Attentive
1775061395.8148787,Attentive
1775061395.8549442,Looking Away 
1775061395.9200494,Looking Away 
1775061395.9615142,Looking Away 
1775061396.0188806,Looking Away 
1775061396.0647476,Looking Away 
1775061396.1049244,Looking Away 
1775061396.201999,Looking Away 
1775061396.2314408,Looking Away 
1775061396.2645762,Looking Away 
1775061396.3062541,Looking Away 
1775061396.3714573,Looking Away 
1775061396.4987543,Looking Away 
1775061396.6324964,Looking Away 
1775061396.8128603,Looking Away 
1775061397.0264397,Looking Away 
1775061397.5154288,Attentive
1775061397.703088,Attentive
1775061397.852197,Attentive
1775061397.9819608,Attentive
1775061398.0662584,Attentive
1775061398.2254846,Attentive
1775061398.3797567,Attentive
1775061398.534635,Attentive
1775061398.6318393,Attentive
1775061398.7165356,Attentive
1775061398.8341107,Attentive
1775061398.9327593,Attentive
1775061399.0332692,Attentive
1775061399.118688,Attentive
1775061399.1852794,Attentive
1775061399.2833009,Attentive
1775061399.3812985,Attentive
1775061399.481335,Attentive
1775061399.567466,Attentive
1775061399.6665068,Attentive
1775061399.8848414,Attentive
1775061400.031406,Attentive
1775061400.133198,Attentive
1775061400.3143022,Attentive
1775061400.442642,Attentive
1775061400.566348,Attentive
1775061400.6971216,Attentive
1775061400.8648393,Attentive
1775061400.9834864,Attentive
1775061401.083522,Attentive
1775061401.2310822,Attentive
1775061401.2726228,Looking Away 
1775061401.4148166,Attentive
1775061401.59693,Attentive
1775061401.6602378,Looking Away 
1775061401.6982207,Looking Away 
1775061401.7876003,Looking Away 
1775061401.8147268,Looking Away 
1775061401.949567,Attentive
1775061402.1132805,Attentive
1775061402.2812428,Attentive
1775061402.4251812,Attentive
1775061402.561402,Attentive
1775061402.9071352,Attentive
1775061403.0691652,Attentive
1775061403.2058094,Attentive
1775061403.3147016,Attentive
1775061403.3998895,Attentive
1775061403.669845,Attentive
1775061403.967345,Attentive
1775061404.3204582,Attentive
1775061404.4278991,Attentive
1775061404.464213,Blinking
1775061404.5779328,Attentive
1775061404.6776214,Attentive
1775061404.7284179,Looking Away 
1775061404.8975782,Attentive
1775061404.9341805,Looking Away 
1775061405.0771077,Attentive
1775061405.2130146,Attentive
1775061405.3891387,Attentive
1775061405.5293312,Looking Away 
1775061405.8574018,Attentive
1775061406.0366194,Attentive
1775061406.1645248,Attentive
1775061406.5653477,Attentive
1775061406.7579584,Attentive
1775061406.898171,Attentive
1775061407.0699706,Attentive
1775061407.2577143,Attentive
1775061407.386079,Attentive
1775061407.4919162,Attentive
1775061407.6192424,Attentive
1775061407.6725857,Cheating
1775061407.827887,Attentive
1775061407.9501398,Attentive
1775061407.9835272,Cheating
1775061408.0675287,Cheating
1775061408.123529,Cheating
1775061408.236052,Cheating
1775061408.3219264,Cheating
1775061408.3950272,Cheating
1775061408.4681194,Cheating
1775061408.5722733,Cheating
1775061408.7298503,Cheating
1775061408.9438195,Cheating
1775061409.1484919,Attentive
1775061409.269272,Attentive
1775061409.3671207,Attentive
1775061409.464508,Attentive
1775061409.6311915,Attentive
1775061409.6720467,Blinking
1775061409.8163288,Attentive
1775061409.9409869,Attentive
1775061410.1176157,Attentive
1775061410.304924,Attentive
1775061410.4166362,Attentive
1775061410.5276804,Attentive
1775061410.6722996,Attentive
1775061410.7983854,Attentive
1775061411.0138655,Attentive
1775061411.1164463,Looking Away
1775061411.1530364,Looking Away 
1775061411.250515,Looking Away
1775061411.2967215,Looking Away 
1775061411.331121,Looking Away 
1775061411.3945801,Looking Away 
1775061411.4953492,Looking Away
1775061411.5976887,Looking Away
1775061411.6284068,Looking Away 
1775061411.739248,Attentive
1775061411.9107752,Attentive
1775061411.9413364,Looking Away 
1775061412.2136755,Attentive
1775061412.3882859,Attentive
1775061412.5081367,Cheating
1775061412.619973,Cheating
1775061412.8344448,Cheating
1775061412.933781,Cheating
1775061413.2122562,Cheating
1775061413.431905,Cheating
1775061413.642515,Cheating
1775061413.8027556,Cheating
1775061413.9110448,Cheating
1775061414.052472,Cheating
1775061414.2894154,Cheating
1775061414.516779,Looking Away 
1775061414.667477,Looking Away 
1775061414.7652302,Looking Away 
1775061414.9173517,Attentive
1775061415.037969,Attentive
1775061415.2277868,Attentive
1775061415.582186,Attentive
1775061415.6552186,Looking Away 
1775061415.7055438,Looking Away 
1775061415.8788674,Looking Away
1775061416.0052972,Looking Away
1775061416.1665778,Looking Away
1775061416.2179017,Looking Away 
1775061416.3835397,Looking Away
1775061416.5207047,Looking Away
1775061416.5610936,Looking Away 
1775061416.6000333,Looking Away 
1775061416.6397257,Looking Away 
1775061416.7476435,Looking Away
1775061416.8102152,Looking Away 
1775061416.8561025,Looking Away 
1775061416.9993343,Attentive
1775061417.2007747,Attentive
1775061417.3636804,Attentive
1775061417.4916542,Attentive
1775061417.55492,Looking Away 
1775061417.6089606,Looking Away 
1775061417.6822958,Looking Away 
1775061417.724625,Looking Away 
1775061417.7665336,Looking Away 
1775061417.817078,Looking Away 
1775061417.8564808,Looking Away 
1775061417.8926928,Looking Away 
1775061418.025635,Looking Away 
1775061418.0786123,Looking Away 
1775061418.1171484,Looking Away 
1775061418.158714,Looking Away 
1775061418.2054398,Looking Away 
1775061418.2378743,Looking Away 
1775061418.2817173,Looking Away 
1775061418.3424668,Looking Away 
1775061418.376492,Looking Away 
1775061418.4649372,Looking Away 
1775061418.5068622,Looking Away 
1775061418.5549998,Looking Away 
1775061418.586496,Looking Away 
1775061418.6273642,Looking Away 
1775061418.6676824,Looking Away 
1775061418.7092588,Looking Away 
1775061418.7493284,Looking Away 
1775061418.7866588,Looking Away 
1775061418.8673747,Looking Away 
1775061418.9050236,Looking Away 
1775061418.9390838,Looking Away 
1775061418.9645212,Looking Away 
1775061418.9976075,Looking Away 
1775061419.0310996,Looking Away 
1775061419.087174,Looking Away 
1775061419.1442757,Looking Away 
1775061419.1780996,Looking Away 
1775061419.262133,Looking Away 
1775061419.373597,Looking Away
1775061419.4152105,Looking Away 
1775061419.451322,Looking Away 
1775061419.6896486,Looking Away
1775061419.738373,Looking Away 
1775061419.9022634,Looking Away 
1775061420.2893167,Looking Away
1775061420.3392951,Looking Away 
1775061420.3713496,Looking Away 
1775061420.414298,Looking Away 
1775061420.4644022,Looking Away 
1775061420.6905348,Attentive
1775061420.7642224,Looking Away 
1775061420.8845563,Attentive
1775061420.9847343,Attentive
1775061421.0848591,Attentive
1775061421.522154,Attentive
1775061421.8945436,Attentive
1775061421.9854505,Cheating
1775061422.1479058,Attentive
1775061422.1943731,Looking Away 
1775061422.2511723,Cheating
1775061422.3500834,Cheating
1775061422.3907866,Cheating
1775061422.4371762,Cheating
1775061422.481155,Cheating
1775061422.5180848,Cheating
1775061422.6484883,Cheating
1775061422.7251265,Cheating
1775061422.765042,Cheating
1775061422.8673723,Cheating
1775061422.920644,Cheating
1775061422.998742,Cheating
1775061423.048483,Cheating
1775061423.1378427,Cheating
1775061423.1886382,Cheating
1775061423.2217357,Cheating
1775061423.3337052,Cheating
1775061423.3692818,Cheating
