timestamp,status
1771053006.4966645,Blinking
1771053006.5896418,Looking Away
1771053006.645045,Blinking
1771053006.6759899,Blinking
1771053006.710914,Blinking
1771053006.7364476,Blinking
1771053006.7700512,Blinking
1771053006.8036754,Blinking
1771053006.8602037,Looking Away
1771053006.9437947,Looking Away
1771053007.0256164,Looking Away
1771053007.1131,Looking Away
1771053007.1863499,Looking Away
1771053007.2771034,Looking Away
1771053007.3561285,Looking Away
1771053007.419677,Looking Away
1771053007.512488,Attentive
1771053007.591054,Attentive
1771053007.6772165,Attentive
1771053007.7571487,Attentive
1771053007.9622998,Attentive
1771053008.1558318,Attentive
1771053008.2574067,Attentive
1771053008.3395274,Attentive
1771053008.4240034,Attentive
1771053008.4948254,Attentive
1771053008.5604365,Attentive
1771053008.6401303,Attentive
1771053008.703032,Attentive
1771053008.7742126,Attentive
1771053008.8547044,Attentive
1771053008.9298766,Attentive
1771053008.992495,Attentive
1771053009.0850606,Attentive
1771053009.1632235,Attentive
1771053009.243241,Attentive
1771053009.3239088,Attentive
1771053009.4017243,Attentive
1771053009.4864535,Attentive
1771053009.5662928,Attentive
1771053009.651976,Attentive
1771053009.7370584,Attentive
1771053009.8228502,Attentive
1771053009.9032545,Attentive
1771053009.9794507,Attentive
1771053010.042203,Attentive
1771053010.126541,Attentive
1771053010.2023895,Attentive
1771053010.2782743,Attentive
1771053010.3482466,Attentive
1771053010.433113,Attentive
1771053010.4869323,Attentive
1771053010.6053357,Attentive
1771053010.9900723,Attentive
1771053011.056435,Attentive
1771053011.140032,Attentive
1771053011.2058496,Attentive
1771053011.2942686,Attentive
1771053011.3713455,Attentive
1771053011.4030466,Blinking
1771053011.4561718,Blinking
1771053011.4944582,Blinking
1771053011.526636,Blinking
1771053011.5649705,Blinking
1771053011.5971513,Blinking
1771053011.6297164,Blinking
1771053011.6635666,Blinking
1771053011.7031436,Blinking
1771053011.7364235,Blinking
1771053011.7698278,Blinking
1771053011.803784,Blinking
1771053011.843181,Blinking
1771053011.8946073,Blinking
1771053011.9300082,Blinking
1771053011.9584398,Blinking
1771053011.9944751,Blinking
1771053012.030913,Blinking
1771053012.0665607,Blinking
1771053012.1021168,Blinking
1771053012.142865,Blinking
1771053012.1825125,Blinking
1771053012.2188811,Blinking
1771053012.255594,Blinking
1771053012.2946584,Blinking
1771053012.3266199,Blinking
1771053012.3889434,Blinking
1771053012.427776,Blinking
1771053012.4530447,Blinking
1771053012.494263,Blinking
1771053012.5375495,Blinking
1771053012.5637574,Blinking
1771053012.6079142,Blinking
1771053012.666074,Blinking
1771053012.7056487,Blinking
1771053012.7320178,Blinking
1771053012.8072891,Attentive
1771053012.874241,Attentive
1771053012.9529924,Attentive
1771053013.0296476,Attentive
1771053013.110743,Attentive
1771053013.1759262,Attentive
1771053013.373613,Attentive
1771053013.4796216,Attentive
1771053013.5697503,Attentive
1771053013.6339693,Attentive
1771053013.7398572,Attentive
1771053013.826168,Attentive
1771053013.8925738,Attentive
1771053013.9765954,Attentive
1771053014.0430582,Attentive
1771053014.12482,Attentive
1771053014.205358,Attentive
1771053014.272931,Attentive
1771053014.3497257,Attentive
1771053014.4194279,Attentive
1771053014.4976707,Attentive
1771053014.5708244,Attentive
1771053014.8629203,Attentive
1771053014.9202254,Attentive
1771053015.0107212,Attentive
1771053015.0871856,Attentive
1771053015.128388,Blinking
1771053015.1606672,Blinking
1771053015.1977124,Blinking
1771053015.23651,Blinking
1771053015.2696967,Blinking
1771053015.306076,Blinking
1771053015.3363698,Blinking
1771053015.374399,Blinking
1771053015.4068806,Blinking
1771053015.4420302,Blinking
1771053015.4750242,Blinking
1771053015.5198424,Blinking
1771053015.5644174,Blinking
1771053015.6029751,Blinking
1771053015.6758175,Blinking
1771053015.7035909,Blinking
1771053015.7373927,Blinking
1771053015.768548,Blinking
1771053015.8067744,Blinking
1771053015.8456705,Blinking
1771053015.875767,Blinking
1771053015.9156804,Blinking
1771053015.9947572,Attentive
1771053016.0697305,Attentive
1771053016.144208,Attentive
1771053016.206748,Attentive
1771053016.3041277,Attentive
1771053016.3772743,Attentive
1771053016.4595377,Attentive
1771053016.5363538,Attentive
1771053016.6700969,Attentive
1771053016.795392,Attentive
1771053016.9027379,Attentive
1771053017.0486372,Attentive
1771053017.128069,Attentive
1771053017.2211237,Attentive
1771053017.3058338,Attentive
1771053017.384957,Attentive
1771053017.472629,Attentive
1771053017.5569005,Attentive
1771053017.5934744,Blinking
1771053017.6258414,Blinking
1771053017.6709614,Blinking
1771053017.7367146,Blinking
1771053017.7759166,Blinking
1771053017.8248873,Blinking
1771053017.8591843,Blinking
1771053017.8866315,Blinking
1771053017.9236083,Blinking
1771053017.9556508,Blinking
1771053017.973993,Blinking
1771053018.0171442,Blinking
1771053018.0463443,Blinking
1771053018.0888479,Blinking
1771053018.1462414,Looking Away
1771053018.2420769,Looking Away
1771053018.3197918,Looking Away
1771053018.3634443,Blinking
1771053018.3983893,Blinking
1771053018.4396114,Blinking
1771053018.47516,Blinking
1771053018.5345063,Blinking
1771053018.5620494,Blinking
1771053018.6265965,Looking Away
1771053018.7000628,Looking Away
1771053018.7863379,Looking Away
1771053018.8626585,Looking Away
1771053019.116343,Looking Away
1771053019.195253,Looking Away
1771053019.2670233,Looking Away
1771053019.3354466,Looking Away
1771053019.4140646,Looking Away
1771053019.4949143,Looking Away
1771053019.5726674,Looking Away
1771053019.6723483,Looking Away
1771053019.7354858,Looking Away
1771053019.8216484,Looking Away
1771053019.8854806,Looking Away
1771053019.9725087,Looking Away
1771053020.036961,Looking Away
1771053020.126105,Looking Away
1771053020.2143335,Looking Away
1771053020.292045,Looking Away
1771053020.3640268,Looking Away
1771053020.4512246,Looking Away
1771053020.5274456,Looking Away
1771053020.607331,Looking Away
1771053020.6905525,Looking Away
1771053020.7672613,Looking Away
1771053020.9767342,Looking Away
1771053021.0605507,Looking Away
1771053021.4739141,Looking Away
1771053021.5697582,Looking Away
1771053021.6547804,Looking Away
1771053021.725848,Looking Away
1771053021.8216443,Looking Away
1771053021.8746405,Looking Away
1771053021.9736376,Looking Away
1771053022.0604851,Looking Away
1771053022.179756,Looking Away
1771053022.4511902,Looking Away
1771053022.5379567,Looking Away
1771053022.6281893,Attentive
1771053022.8945792,Attentive
1771053023.0063603,Attentive
1771053023.2101607,Attentive
1771053023.41483,Attentive
1771053023.634533,Attentive
1771053023.7437298,Attentive
1771053023.8073535,Attentive
1771053023.8742783,Attentive
1771053023.9399495,Attentive
1771053024.0241165,Attentive
1771053024.1052248,Attentive
1771053024.1880414,Attentive
1771053024.2622783,Attentive
1771053024.3277564,Attentive
1771053024.4720986,Attentive
1771053024.5624115,Attentive
1771053024.627263,Attentive
1771053024.709447,Attentive
1771053024.7935326,Attentive
1771053024.8675165,Attentive
1771053024.9402094,Attentive
1771053025.0107431,Looking Away
1771053025.086904,Looking Away
1771053025.173406,Looking Away
1771053025.2361424,Looking Away
1771053025.3089907,Looking Away
1771053025.3855019,Looking Away
1771053025.4588451,Looking Away
1771053025.5275254,Looking Away
1771053025.5962179,Looking Away
1771053025.6591017,Looking Away
1771053025.73185,Looking Away
1771053025.803504,Looking Away
1771053026.021913,Looking Away
1771053026.087739,Looking Away
1771053026.1720011,Looking Away
1771053026.243354,Looking Away
1771053026.3249505,Looking Away
1771053026.392891,Looking Away
1771053026.4754667,Looking Away
1771053026.5399926,Looking Away
1771053026.6253188,Looking Away
1771053026.7088068,Looking Away
1771053026.7861285,Looking Away
1771053026.8600276,Looking Away
1771053026.9408827,Looking Away
1771053027.0185444,Looking Away
1771053027.1028025,Looking Away
1771053027.1818776,Looking Away
1771053027.2548735,Looking Away
1771053027.338353,Attentive
1771053027.4193037,Attentive
1771053027.485486,Looking Away
1771053027.5721874,Looking Away
1771053027.643065,Looking Away
1771053027.7195082,Looking Away
1771053027.790504,Looking Away
1771053027.8776095,Looking Away
1771053027.9629154,Looking Away
1771053028.042938,Looking Away
1771053028.1216364,Looking Away
1771053028.1874287,Looking Away
1771053028.2694993,Looking Away
1771053028.3433537,Looking Away
1771053028.4268792,Looking Away
1771053028.5195665,Looking Away
1771053028.591541,Looking Away
1771053028.6573362,Looking Away
1771053028.7254362,Looking Away
1771053028.804806,Looking Away
1771053028.8686237,Looking Away
1771053028.9474866,Looking Away
1771053029.0409825,Looking Away
1771053029.1215289,Looking Away
1771053029.186708,Looking Away
1771053029.2640004,Looking Away
1771053029.3358977,Looking Away
1771053029.4048169,Looking Away
1771053029.4801486,Looking Away
1771053029.5425382,Looking Away
1771053029.9234893,Looking Away
1771053029.9896727,Looking Away
1771053030.056486,Looking Away
1771053030.137391,Looking Away
1771053030.2067788,Looking Away
1771053030.2868414,Looking Away
1771053030.370165,Looking Away
1771053030.4434023,Looking Away
1771053030.5385249,Looking Away
1771053030.5938003,Looking Away
1771053030.6756546,Looking Away
1771053030.7478855,Looking Away
1771053030.8247073,Looking Away
1771053030.9045515,Looking Away
1771053030.987253,Looking Away
1771053031.062207,Looking Away
1771053031.1382594,Looking Away
1771053031.210901,Looking Away
1771053031.2980912,Looking Away
1771053031.3756893,Looking Away
1771053031.4485388,Looking Away
1771053031.5244772,Looking Away
1771053031.588923,Looking Away
1771053031.7890263,Looking Away
1771053031.876193,Looking Away
1771053031.956196,Looking Away
1771053032.021083,Looking Away
1771053032.1156447,Looking Away
1771053032.1987455,Looking Away
1771053032.272465,Looking Away
1771053032.3517847,Looking Away
1771053032.4269953,Looking Away
1771053032.5049312,Looking Away
1771053032.5723982,Looking Away
1771053032.64251,Looking Away
1771053032.7378228,Looking Away
1771053032.8046582,Looking Away
1771053032.904637,Looking Away
1771053032.988397,Looking Away
1771053033.06833,Looking Away
1771053033.1436625,Looking Away
1771053033.2264428,Looking Away
1771053033.3093932,Looking Away
1771053033.3851159,Looking Away
1771053033.4573317,Looking Away
1771053033.536267,Looking Away
1771053033.6090722,Looking Away
1771053033.6760468,Looking Away
1771053033.7570276,Looking Away
1771053033.8222997,Looking Away
1771053033.9032197,Attentive
1771053033.989736,Attentive
1771053034.073781,Looking Away
1771053034.1268055,Looking Away
1771053034.2036827,Looking Away
1771053034.2841785,Looking Away
1771053034.4386005,Looking Away
1771053034.5211112,Looking Away
1771053034.587349,Looking Away
1771053034.6408253,Blinking
1771053034.6868289,Blinking
1771053034.7194588,Blinking
1771053034.7448285,Blinking
1771053034.7899728,Blinking
1771053034.8597026,Attentive
1771053034.9559937,Attentive
1771053035.0190039,Attentive
1771053035.11158,Attentive
1771053035.1920753,Attentive
1771053035.269544,Attentive
1771053035.3453207,Attentive
1771053035.4256654,Attentive
1771053035.510984,Attentive
1771053035.591126,Attentive
1771053035.6629524,Attentive
1771053035.7360706,Attentive
1771053035.8051713,Attentive
1771053035.8894954,Attentive
1771053035.9750195,Attentive
1771053036.042056,Attentive
1771053036.108201,Attentive
1771053036.1860707,Attentive
1771053036.275682,Attentive
1771053036.3395662,Attentive
1771053036.425121,Attentive
1771053036.5109975,Attentive
1771053036.5760226,Attentive
1771053036.6628973,Attentive
1771053036.876912,Looking Away
1771053037.1421502,Looking Away
1771053037.215198,Looking Away
1771053037.3485959,Looking Away
1771053037.4328358,Looking Away
1771053037.5600376,Looking Away
1771053037.6428657,Attentive
1771053037.7079942,Attentive
1771053037.9254751,Attentive
1771053037.991898,Looking Away
1771053038.0786335,Attentive
1771053038.1532967,Attentive
1771053038.2244267,Attentive
1771053038.3036108,Attentive
1771053038.3890996,Attentive
1771053038.4604237,Attentive
1771053038.5366223,Attentive
1771053038.61052,Attentive
1771053038.696457,Attentive
1771053038.7923088,Attentive
1771053038.910283,Attentive
1771053038.9567845,Blinking
1771053038.9957454,Blinking
1771053039.0272021,Blinking
1771053039.0824323,Blinking
1771053039.1110456,Blinking
1771053039.15004,Blinking
1771053039.1821253,Blinking
1771053039.2149112,Blinking
1771053039.2428737,Blinking
1771053039.273366,Blinking
1771053039.319614,Blinking
1771053039.349797,Blinking
1771053039.3862262,Blinking
1771053039.4404051,Blinking
1771053039.4766188,Blinking
1771053039.503674,Blinking
1771053039.5582438,Blinking
1771053039.5943205,Blinking
1771053039.6286557,Blinking
1771053039.660634,Blinking
1771053039.709743,Blinking
1771053039.7539766,Blinking
1771053039.7861435,Blinking
1771053039.8121262,Blinking
1771053039.8445544,Blinking
1771053039.876666,Blinking
1771053039.9160357,Blinking
1771053039.9420166,Blinking
1771053039.9735897,Blinking
1771053040.0058594,Blinking
1771053040.0442302,Blinking
1771053040.0769436,Blinking
1771053040.1108997,Blinking
1771053040.1360433,Blinking
1771053040.1805599,Blinking
1771053040.2096448,Blinking
1771053040.2463336,Blinking
1771053040.2806711,Blinking
1771053040.3217623,Blinking
1771053040.350639,Blinking
1771053040.3914235,Blinking
1771053040.419421,Blinking
1771053040.4531026,Blinking
1771053040.4860983,Sleeping
1771053040.5810533,Looking Away
1771053040.654066,Looking Away
1771053040.74191,Looking Away
1771053040.8188922,Looking Away
1771053040.9074612,Looking Away
1771053040.9815342,Looking Away
1771053041.068061,Looking Away
1771053041.1032107,Blinking
1771053041.1485114,Blinking
1771053041.1740606,Blinking
1771053041.2319045,Blinking
1771053041.2751536,Blinking
1771053041.3072388,Blinking
1771053041.3343232,Blinking
1771053041.372157,Blinking
1771053041.4152606,Blinking
1771053041.443082,Blinking
1771053041.4703028,Blinking
1771053041.5029705,Blinking
1771053041.5321407,Blinking
1771053041.5709982,Blinking
1771053041.602253,Blinking
1771053041.6316206,Blinking
1771053041.6722739,Blinking
1771053041.7092614,Blinking
1771053041.744137,Blinking
1771053041.7771602,Blinking
1771053041.8183837,Blinking
1771053041.8543992,Blinking
1771053041.975795,Blinking
1771053042.0300407,Blinking
1771053042.0662105,Blinking
1771053042.112292,Blinking
1771053042.1594443,Blinking
1771053042.1847777,Blinking
1771053042.224415,Blinking
1771053042.268488,Blinking
1771053042.3061767,Blinking
1771053042.4104824,Looking Away
1771053042.4876735,Looking Away
1771053042.5765612,Looking Away
1771053042.6556869,Looking Away
1771053042.729631,Looking Away
1771053042.810224,Looking Away
1771053043.026536,Looking Away
