timestamp,status
1774496437.3924441,Attentive
1774496437.5061615,Attentive
1774496437.6315439,Attentive
1774496437.7204556,Attentive
1774496437.800042,Attentive
1774496437.8788152,Attentive
1774496437.998228,Attentive
1774496438.0814075,Attentive
1774496438.17274,Attentive
1774496438.2565026,Attentive
1774496438.337895,Attentive
1774496438.4356267,Attentive
1774496438.535708,Attentive
1774496438.614684,Attentive
1774496438.7090154,Attentive
1774496438.7897089,Attentive
1774496438.8704877,Attentive
1774496438.9843876,Attentive
1774496439.059498,Attentive
1774496439.140211,Attentive
1774496439.2216313,Attentive
1774496439.3061428,Attentive
1774496439.3814912,Attentive
1774496439.4483473,Attentive
1774496439.5301118,Attentive
1774496439.605082,Attentive
1774496439.6816776,Attentive
1774496439.7797377,Attentive
1774496439.8694208,Attentive
1774496439.9100387,Looking Away 
1774496439.9588459,Looking Away 
1774496439.9892945,Looking Away 
1774496440.0284393,Looking Away 
1774496440.0630713,Looking Away 
1774496440.0965307,Looking Away 
1774496440.121949,Looking Away 
1774496440.146378,Looking Away 
1774496440.166117,Looking Away 
1774496440.2057555,Looking Away 
1774496440.2471344,Looking Away 
1774496440.2804403,Looking Away 
1774496440.3049486,Looking Away 
1774496440.3479834,Looking Away 
1774496440.3920865,Looking Away 
1774496440.4274244,Looking Away 
1774496440.4696925,Looking Away 
1774496440.497325,Looking Away 
1774496440.536983,Looking Away 
1774496440.562421,Looking Away 
1774496440.585672,Looking Away 
1774496440.654692,Attentive
1774496440.803364,Attentive
1774496440.8361096,Looking Away 
1774496440.883442,Looking Away 
1774496440.9177241,Looking Away 
1774496440.9428816,Looking Away 
1774496441.029654,Looking Away 
1774496441.0471241,Looking Away 
1774496441.079968,Looking Away 
1774496441.1248457,Looking Away 
1774496441.1533906,Looking Away 
1774496441.1938763,Looking Away 
1774496441.2334352,Looking Away 
1774496441.2679436,Looking Away 
1774496441.3032534,Looking Away 
1774496441.3444648,Looking Away 
1774496441.3782496,Looking Away 
1774496441.4045246,Looking Away 
1774496441.437758,Looking Away 
1774496441.4788482,Looking Away 
1774496441.5436192,Attentive
1774496441.6359732,Attentive
1774496441.7169628,Attentive
1774496441.7947767,Attentive
1774496441.8690612,Attentive
1774496441.949433,Attentive
1774496442.0366955,Attentive
1774496442.118001,Attentive
1774496442.1983454,Attentive
1774496442.281246,Attentive
1774496442.3684013,Attentive
1774496442.4497159,Attentive
1774496442.5370615,Attentive
1774496442.614847,Attentive
1774496442.7116182,Attentive
1774496442.7504215,Looking Away 
1774496442.7808106,Looking Away 
1774496442.8132572,Looking Away 
1774496442.8779254,Looking Away 
1774496442.9110148,Looking Away 
1774496442.9587855,Looking Away 
1774496442.983553,Looking Away 
1774496443.0192072,Looking Away 
1774496443.0460749,Looking Away 
1774496443.0800374,Looking Away 
1774496443.1156507,Looking Away 
1774496443.1620758,Looking Away 
1774496443.1887183,Looking Away 
1774496443.2198398,Looking Away 
1774496443.2560441,Looking Away 
1774496443.2909982,Looking Away 
1774496443.3257146,Looking Away 
1774496443.3636298,Looking Away 
1774496443.386875,Looking Away 
1774496443.4305637,Looking Away 
1774496443.4693053,Looking Away 
1774496443.504877,Looking Away 
1774496443.5369868,Looking Away 
1774496443.5663557,Looking Away 
1774496443.6019118,Looking Away 
1774496443.6330154,Looking Away 
1774496443.6644924,Looking Away 
1774496443.7011802,Looking Away 
1774496443.7369163,Looking Away 
1774496443.766948,Looking Away 
1774496443.8037765,Looking Away 
1774496443.8351588,Looking Away 
1774496443.9335895,Attentive
1774496444.0329566,Attentive
1774496444.1029596,Attentive
1774496444.1979513,Attentive
1774496444.279799,Attentive
1774496444.3648677,Attentive
1774496444.4483268,Attentive
1774496444.5210538,Attentive
1774496444.596361,Attentive
1774496444.6710684,Attentive
1774496444.7493417,Attentive
1774496444.835076,Attentive
1774496444.916496,Attentive
1774496444.9893007,Attentive
1774496445.0719585,Attentive
1774496445.1473794,Attentive
1774496445.2299979,Attentive
1774496445.306482,Attentive
1774496445.3929262,Attentive
1774496445.4924226,Attentive
1774496445.7609763,Attentive
1774496445.9657702,Attentive
1774496446.048622,Attentive
1774496446.1337261,Attentive
1774496446.2190511,Attentive
1774496446.3015587,Attentive
1774496446.3856246,Attentive
1774496446.480835,Attentive
1774496446.5633595,Attentive
1774496446.6385748,Attentive
1774496446.7225428,Attentive
1774496446.8050866,Attentive
1774496446.894279,Attentive
1774496446.972505,Attentive
1774496447.0641587,Attentive
1774496447.1376314,Attentive
1774496447.214701,Attentive
1774496447.2861035,Attentive
1774496447.3731167,Attentive
1774496447.465173,Attentive
1774496447.5482452,Attentive
1774496447.631426,Attentive
1774496447.7240796,Attentive
1774496447.812679,Attentive
1774496447.9159353,Attentive
1774496448.0314863,Attentive
1774496448.1419375,Attentive
1774496448.234598,Attentive
1774496448.3249664,Attentive
1774496448.4033155,Attentive
1774496448.489095,Attentive
1774496448.5512488,Attentive
1774496448.6441255,Attentive
1774496448.7335675,Attentive
1774496448.8437796,Attentive
1774496448.9632156,Attentive
1774496449.0651464,Attentive
1774496449.1555412,Attentive
1774496449.2448041,Attentive
1774496449.330635,Attentive
1774496449.4378672,Attentive
1774496449.6133595,Attentive
1774496449.698073,Attentive
1774496449.7896924,Attentive
1774496449.8919284,Attentive
1774496449.9961798,Attentive
1774496450.1144118,Attentive
1774496450.2106946,Attentive
1774496450.2910798,Attentive
1774496450.3671703,Attentive
1774496450.452272,Attentive
1774496450.5392141,Attentive
1774496450.620399,Attentive
1774496450.73095,Attentive
