timestamp,status
1774371519.5590162,Attentive
1774371519.6387417,Attentive
1774371519.726762,Attentive
1774371519.8119767,Attentive
1774371519.9036956,Attentive
1774371519.9707909,Attentive
1774371520.0657792,Attentive
1774371520.1538794,Attentive
1774371520.2640066,Attentive
1774371520.3653107,Attentive
1774371520.4724655,Attentive
1774371520.5483842,Attentive
1774371520.620549,Attentive
1774371520.7059932,Attentive
1774371520.789379,Attentive
1774371520.8663197,Attentive
1774371520.943515,Attentive
1774371521.0344088,Attentive
1774371521.1153936,Attentive
1774371521.2206986,Attentive
1774371521.3039067,Attentive
1774371521.3871558,Attentive
1774371521.4769201,Attentive
1774371521.5419567,Attentive
1774371521.626824,Attentive
1774371521.7096584,Attentive
1774371521.822791,Attentive
1774371521.9112806,Attentive
1774371521.999327,Attentive
1774371522.084672,Attentive
1774371522.1638505,Attentive
1774371522.241582,Attentive
1774371522.3186524,Attentive
1774371522.395984,Attentive
1774371522.471078,Attentive
1774371522.5402224,Attentive
1774371522.6225333,Attentive
1774371522.7088568,Attentive
1774371522.7895744,Attentive
1774371522.8538804,Attentive
1774371522.948767,Attentive
1774371523.0352378,Attentive
1774371523.1247523,Attentive
1774371523.2127306,Attentive
1774371523.2936869,Attentive
1774371523.3853335,Attentive
1774371523.4540172,Attentive
1774371523.542669,Attentive
1774371523.626121,Attentive
1774371523.7101874,Attentive
1774371523.79203,Attentive
1774371523.863605,Attentive
1774371523.9440825,Attentive
1774371524.0200977,Attentive
1774371524.0925941,Attentive
1774371524.1705642,Attentive
1774371524.2520895,Attentive
1774371524.3368824,Attentive
1774371524.4163997,Attentive
1774371524.4905894,Attentive
1774371524.5745769,Attentive
1774371524.6848633,Attentive
1774371524.7694361,Attentive
1774371524.8382149,Attentive
1774371524.937466,Attentive
1774371525.023867,Attentive
1774371525.1123464,Attentive
1774371525.1930804,Attentive
1774371525.2755506,Attentive
1774371525.4715352,Attentive
1774371525.5687182,Attentive
1774371525.6551266,Attentive
1774371525.6858783,Blinking
1774371525.7873743,Attentive
1774371525.8747687,Attentive
1774371525.953897,Attentive
1774371526.0253074,Attentive
1774371526.1072278,Attentive
1774371526.197872,Attentive
1774371526.2906337,Attentive
1774371526.3809645,Looking Away
1774371526.4677024,Looking Away
1774371526.5582063,Looking Away
1774371526.6368911,Looking Away
1774371526.7244866,Looking Away
1774371526.824182,Looking Away
1774371526.8593986,Blinking
1774371526.9419732,Looking Away
1774371527.0015836,Typing/Reading
1774371527.0873349,Looking Away
1774371527.158279,Looking Away
1774371527.1982954,Blinking
1774371527.2352023,Cheating
1774371527.2595682,Blinking
1774371527.3543136,Looking Away
1774371527.6272943,Looking Away
1774371528.0108376,Attentive
1774371528.068411,Blinking
1774371528.2221222,Attentive
1774371528.3209915,Attentive
1774371528.4064405,Attentive
1774371528.4932652,Attentive
1774371528.5907273,Attentive
1774371528.6916137,Attentive
1774371528.759156,Attentive
1774371528.854327,Attentive
1774371528.931901,Attentive
1774371528.967965,Blinking
1774371529.0555806,Attentive
1774371529.1273723,Attentive
1774371529.2334194,Looking Away
1774371529.312222,Looking Away
1774371529.406058,Looking Away
1774371529.490363,Looking Away
1774371529.5705092,Looking Away
1774371529.6540194,Looking Away
1774371529.7385254,Looking Away
1774371529.8299963,Looking Away
1774371529.9205668,Looking Away
1774371530.0010786,Looking Away
1774371530.0745037,Looking Away
1774371530.146205,Looking Away
1774371531.31224,Attentive
1774371531.392762,Attentive
1774371531.4899075,Attentive
1774371531.5789065,Attentive
1774371531.6626873,Attentive
1774371531.7492907,Attentive
1774371531.8464527,Attentive
1774371531.9574306,Attentive
1774371532.0291228,Attentive
1774371532.1079054,Attentive
1774371532.2185566,Attentive
1774371532.3070683,Attentive
1774371532.4400191,Attentive
1774371532.5296154,Attentive
1774371532.6221676,Attentive
1774371532.7085607,Attentive
1774371532.748769,Blinking
1774371532.7735868,Cheating
1774371532.8534517,Attentive
1774371532.9249134,Attentive
1774371533.0043788,Attentive
1774371533.078364,Attentive
1774371533.1563187,Attentive
1774371533.2353773,Attentive
1774371533.3609214,Attentive
1774371533.441698,Attentive
1774371533.5219722,Attentive
1774371533.589356,Attentive
1774371533.6847675,Attentive
1774371533.7757843,Attentive
1774371533.8619654,Attentive
1774371533.9551997,Attentive
1774371534.0470734,Attentive
1774371534.137214,Attentive
1774371534.2215579,Attentive
1774371534.3044717,Attentive
1774371534.3815465,Attentive
1774371534.4596183,Attentive
1774371534.5410163,Attentive
1774371534.637337,Attentive
1774371534.7219026,Attentive
1774371534.8206165,Attentive
1774371534.9072406,Attentive
1774371535.0041413,Attentive
1774371535.1243002,Attentive
1774371535.2038426,Attentive
1774371535.2860494,Attentive
1774371535.3701801,Attentive
1774371535.453977,Attentive
1774371535.5403507,Attentive
1774371535.6215918,Attentive
1774371535.71365,Attentive
1774371535.8038762,Attentive
1774371535.878763,Attentive
1774371535.958179,Attentive
1774371536.0493312,Attentive
1774371536.1248562,Attentive
1774371536.1899736,Attentive
1774371536.2895143,Attentive
1774371536.3585973,Attentive
1774371536.4684944,Attentive
1774371536.5690753,Attentive
1774371536.6877406,Attentive
1774371536.8079512,Attentive
1774371536.9186065,Attentive
1774371537.0709453,Attentive
1774371537.1244102,Blinking
1774371537.2737472,Attentive
1774371537.3536355,Attentive
1774371538.901834,Attentive
1774371538.9700508,Attentive
1774371539.1027665,Attentive
1774371539.1772888,Attentive
1774371539.2705534,Attentive
1774371539.539528,Attentive
1774371539.6850715,Attentive
1774371539.7722628,Attentive
1774371539.8715842,Attentive
1774371539.943017,Attentive
1774371540.0517392,Attentive
1774371540.1290033,Attentive
1774371540.2202866,Attentive
1774371540.302034,Attentive
1774371540.3833451,Attentive
1774371540.413733,Blinking
1774371540.4458084,Blinking
1774371540.4713533,Blinking
1774371540.5042555,Blinking
